umadMutation,0.00044083595276,32768,"74,331,505.39"
compute_individuals (1),0.21746826171875,32768000,"150,679,458.88"
compute_error,0.00072145462036,256000,"354,838,672.84"
tournament(39),0.00054383277893,9984,"18,358,584.45"
umadMutation,0.00046992301941,32768,"69,730,570.00"
compute_individuals (1),0.21714591979981,32768000,"150,903,134.77"
compute_error,0.00071620941162,256000,"357,437,358.19"
tournament(39),0.00052261352539,9984,"19,103,983.18"
umadMutation,0.00043272972107,32768,"75,723,941.31"
compute_individuals (1),0.21799254417420,32768000,"150,317,067.60"
compute_error,0.00069785118103,256000,"366,840,390.84"
tournament(39),0.00053930282593,9984,"18,512,790.07"
umadMutation,0.00050210952759,32768,"65,260,661.67"
compute_individuals (1),0.21807384490967,32768000,"150,261,027.47"
compute_error,0.00070309638977,256000,"364,103,704.31"
compute_individuals (1),0.00371456146240,128000,"34,458,980.23"
